Source,Target,Type,Id,Label,Weight
11,1375,Directed,96,,1
11,1535,Directed,97,,1
11,1723,Directed,98,,1
11,974,Directed,99,,2
11,266,Directed,100,,1
11,1080,Directed,101,,1
11,1908,Directed,102,,1
11,656,Directed,103,,1
11,196,Directed,104,,1
11,2944,Directed,105,,1
11,2150,Directed,106,,1
11,2239,Directed,107,,1
11,859,Directed,108,,1
11,3859,Directed,109,,1
11,1995,Directed,110,,1
11,204,Directed,111,,1
11,4381,Directed,112,,1
11,3619,Directed,113,,1
11,2599,Directed,114,,1
11,1571,Directed,115,,1
11,4003,Directed,116,,1
11,3306,Directed,117,,1
11,2121,Directed,118,,1
11,4547,Directed,119,,1
11,3470,Directed,120,,1
11,4321,Directed,121,,1
11,4317,Directed,122,,1
11,1650,Directed,123,,1
11,1415,Directed,124,,1
11,3715,Directed,125,,1
11,3045,Directed,126,,1
11,1039,Directed,127,,1
11,1143,Directed,128,,1
11,1646,Directed,129,,1
11,430,Directed,130,,1
11,3587,Directed,131,,2
11,130,Directed,132,,1
11,69,Directed,133,,1
11,3565,Directed,134,,1
11,299,Directed,135,,1
11,1435,Directed,136,,1
11,426,Directed,137,,1
11,861,Directed,138,,1
11,218,Directed,139,,1
11,4232,Directed,140,,1
11,4081,Directed,141,,1
11,2288,Directed,142,,1
11,891,Directed,143,,1
12,2767,Directed,144,,1
12,1051,Directed,145,,1
12,3898,Directed,146,,1
12,2369,Directed,147,,1
12,934,Directed,148,,1
12,708,Directed,149,,1
12,911,Directed,150,,2
12,3191,Directed,151,,1
12,2147,Directed,152,,2
12,2900,Directed,153,,1
12,724,Directed,154,,1
12,494,Directed,155,,1
12,3265,Directed,156,,1
12,1217,Directed,157,,1
12,3097,Directed,158,,1
12,3637,Directed,159,,1
12,2935,Directed,160,,1
12,1273,Directed,161,,1
12,1216,Directed,162,,6
12,2961,Directed,163,,1
12,2375,Directed,164,,1
12,1757,Directed,165,,2
12,4266,Directed,166,,1
12,4542,Directed,167,,1
12,365,Directed,168,,1
12,4162,Directed,169,,1
12,1040,Directed,170,,1
12,951,Directed,171,,1
12,1950,Directed,172,,1
12,2572,Directed,173,,1
12,2491,Directed,174,,1
12,2692,Directed,175,,1
12,3619,Directed,176,,1
12,423,Directed,177,,1
12,2506,Directed,178,,1
12,3134,Directed,179,,1
